"Serial No","Assamese Sentence","Sentiment"
62,"১০৯৯ পৃষ্ঠাজোৰা এই গ্ৰন্থখনত পদাৰ্থ বিজ্ঞানৰ সূত্ৰসমূহৰ বিস্তৃত ব্যাখ্যা আৰু গাইড সন্নিৱিষ্ট হৈছে।","Neutral"
634,"১৭৬৬ চনত হেনৰী কেভেণ্ডিছে বায়ুতকৈ পাতল হাইড্ৰজেন গেছ আৱিষ্কাৰ কৰিলে।","Neutral"
48060,"জাৰ্মান সেনাই ফ্ৰান্সৰ ভিতৰত সুবিধাজনক প্ৰতিৰক্ষা আস্থান গঢ়িবলৈ সক্ষম হৈছিল আৰু ২৩০,০০০-তকৈও বেছি ফ্ৰান্স আৰু ব্ৰিটিছ সেনাক যুদ্ধৰপৰা আঁতৰাই ৰাখিবলৈ সক্ষম হৈছিল।","Positive"
22394,"ইয়াৰে প্ৰথম দুখন অধিজগতৰ সকলো সদস্য প্ৰকোষকেন্দ্ৰীয় অনুজীৱ বা কোষকেন্দ্ৰহীন এককোষী অনুজীৱ ।","Negative"
461,"১৬২৩ চনত “ফাৰ্ষ্ট ফ’লিও”ত শ্বেইকছপীয়েৰৰ নাটক সমূহক মিলনান্তক(কমেডী), ইতিহাসমূলক(হিষ্ট্ৰী) আৰু বিয়োগান্তক(ট্ৰেজেডী) এই তিনিটা ভাগত ভাগ কৰা হয়।","Neutral"
26935,"এই চোৰাং কাৰবাৰীবোৰে এদিন সুবিধা বুজি মিথিংগাক দলবদ্ধভাবে বলাৎকাৰ কৰে।","Positive"
293,"১৪ আগষ্টত তেওঁলোক পুৱেৰ্ট কেষ্টিলা নামৰ ঠাইত মহাদেশৰ মূল ভূখণ্ডত ভৰি থলে।","Neutral"
29560,"এই বিভাগটোত গৱেষণাৰ বাবে সা-সুবিধা প্ৰদান কৰা হয়।","Positive"
44463,"ঘিলামৰাৰ ওচৰৰ ধনুখনা বিলত ১৯১০ চনত আৰু ১৯৩২ চনত ঘিলামৰাৰ ওচৰৰ ন-ভাঙনী মাটিত কোৰ মাৰোতে প্ৰাপ্ত হোৱা দুখন ফলিৰ উপৰিও তৃতীয় এখন ফলিও উদ্ধাৰ হৈছিল।","Negative"
49571,"ডা° কেট হাণ্টাৰ : এক দুখগ্ৰস্ত শৈশৱৰ ফলশ্ৰুতিত “কেতিয়াও কোনো পুৰুষক কাষ চাপিব নিদিওঁ” বুলি কেটে শপত খায়।","Negative"
496,"১৬৬২ চনত স্থাপন কৰা এই দৰগাহৰ ঐতিহাসিক মহত্ত্ব আছে।","Neutral"
28929,"এই প্ৰগ্ৰেমৰ এলগৰিথম আৰু সংশ্লিষ্ট ইনপুট-আউটপুট বোৰেই হব আমাৰ সমস্যাটোৰ কম্পিউটাৰ অৱৰূপ বা মডেল।","Negative"
595,"১৭০৬ চনত, তাৰাবাইক মোগল বাহিনীয়ে ৪ দিনৰ বাবে বন্দী কৰিছিল কিন্তু তেওঁ এজন মোগল সৈনিকক নিজৰ খাৰুসহ কিছু ব্যয়বহুল গহনা দি বন্দীসালৰ পৰা পলায়ন কৰিছিল।","Neutral"
31412,"এই সমস্যাৰ সৈতে যুঁজিবলৈ পশ্চমবঙ্গৰ তদানীন্তন মুখ্যমন্ত্ৰী ডাঃ বিধানচন্দ্ৰ ৰায়ে বহুতো কাৰ্যকৰী উন্নয়নমূলক আঁচনি গ্ৰহণ কৰে।","Negative"
19686,"ইয়াৰ অৰ্থ হ'ল, নিজৰ পচন্দৰ নীতি ক ভোট দিয়াৰ কোনো লোকচান নাই।","Positive"
41926,"খেলত কিবা বিবাদ নাইবা সমস্যাই দেখা দিলে উক্ত সদস্য প্ৰতিনিধিজনৰ নেতৃত্বত খেলতেই সমাধান কৰিব লাগে।","Negative"
15540,"আনহাতে বিধৱা বিবাহৰ বিৰোধিতা কৰি ত্ৰিশ হাজাৰ চহীসম্বলিত আন এখন আবেদন কোম্পানীৰ ওচৰত দাখিল কৰা হয়।","Negative"
19997,"ইয়াৰ উপৰিও শিক্ষানুষ্ঠানখনৰ এটা ছাত্ৰাবাস, এটা ছাত্ৰীনিবাস, এক ইনড'ৰ ষ্টেডিয়াম (ফণীধৰ দত্ত খেলঘৰ), এটা ব্যায়ামগাৰ আৰু দুখন কেণ্টিন আছে।","Negative"
22241,"ইয়াৰ সহায়ত তেওঁ তৰল গতিবিজ্ঞান আৰু হিলবাৰ্টৰ ১৯তম সমস্যা সমাধান কৰিছিল।","Negative"
23317,"উত্তৰ-পূব ক্ষেত্ৰীয় কৃষি বিপনণ নিগম লিমিটেডে ভৌগোলিক স্বীকৃতি পঞ্জীয়কৰ ওচৰত দাখিল কৰা প্ৰতিবেদন অনুসৰি এই কমলাবিধৰ বিশেষত্ব হৈছে ইয়াৰ টেঙা-মিঠা সোৱাদ আৰু ৰসৰ প্ৰাচুৰ্য।","Negative"
82,"১০মাহৰ পিছত তেওঁ পুনৰ ওলাল সেই একেই যাত্ৰাত, নাওখন কিছু সৰু কৰি লৈ, যাৰ নাম দিয়া হ'ল ৰা-২।","Neutral"
37178,"কালামে বিবেচনা কৰা একমাত্ৰ আবেদনখন আছিল ধৰ্ষণকাৰী ধনঞ্জয় চেটাৰ্জিৰ দয়া আবেদন নাকচ কৰা, যাক পাচত ফাঁচি দিয়া হয়।","Negative"
13527,"আকাশবাণী গুৱাহাটী কেন্দ্ৰই ৰাজ্যৰ বিভিন্ন প্ৰান্তৰ প্ৰতিভাৱান শিল্পী সকলৰ গীত বাণীবদ্ধ কৰি ৰাজ্যখনৰ শ্ৰোতাক শুনিবলৈ সুবিধা দি আহিছে।","Positive"
41587,"ক্ষোভে-দুখে জৰ্জড়িত হৈ এৰিছেও তাৰ পোটক তুলিবলৈ মন কৰি এটা সোণৰ আপেল খোলা দুৱাৰেদি বিবাহৰ ঘৰৰ ভোজমেল হৈ থকা বিশাল কক্ষৰ মজিয়াইদি বগৰাই দিয়ে আৰু তাত লিখা থাকে “সকলোতকৈ সুন্দৰী গৰাকীৰ প্ৰতি”।","Negative"
46892,"ছাত্ৰ-ছাত্ৰী সকলে নিজ নিজ চিন্তা আৰু জ্ঞানৰ ব্যৱহাৰ কৰি প্ৰযুক্তিবিদ্যাৰ ক্ষেত্ৰত নিজৰ প্ৰতিভা দেখুওৱাৰ সুবিধা লাভ কৰে।","Positive"
4921,"১৯৯০ চনৰ মে মাহৰ পূৰ্বে এই দেশ দুখন পৃথক ৰাষ্ট্ৰত বিভক্ত আছিল।","Negative"
4142,"১৯৭৫ চনত প্ৰথম প্ৰকাশ হোৱা এই আলোচনীখন আৰ্থিক সমস্যাৰ বাবে প্ৰায় বহুবছৰ অপ্ৰকাশিত হৈ আছিল।","Negative"
29699,"এই বিষয়ে চন্দ্ৰবংশী ৰাজকুমাৰী আনন্দময়ীয়ে ব্যাখ্যা কৰি কয় যে তেওঁলোকৰো এনেধৰণৰ এক কিংবদন্তি আছে য'ত নীলকণ্ঠ আহি দুৰ্জন সূৰ্যবংশীসকলৰ বিৰূদ্ধে এক আক্ৰমণ আৰম্ভ কৰি তেওঁলোকক ৰক্ষা কৰিব।","Positive"
44381,"ঘৰ শালিকাই আফ্ৰিকা, উত্তৰ আমেৰিকা, অষ্ট্ৰালিয়া তথা নিউজিলেণ্ড আদি ঠাইত বহুতো সমস্যাৰ সৃষ্টি কৰিছৈ আৰু সেয়ে ইয়াক এই অঞ্চল সমূহত pest বুলি গণ্য কৰা হয়।","Negative"
420,"১৫ বছৰ বয়সত কমল ৰয়ৰ সৈতে তেওঁ বিবাহ পাশত আবদ্ধ হয়।","Neutral"
27548,"এই তিনিগৰাকী সদস্যৰ ভিতৰত ছিক্কিমৰ আনন্দ গুৰুঙৱ ভাৰতীয় মান সময় ৰাতিপুৱা ৭:৩৫ বজাত, আৰু অৰুণাচলৰ নিমা লামা আৰু মণিপুৰৰ এন বিদ্যাপতিয়ে ক্ৰমে ৮:৩০ আৰু ৯:৩০ বজাত এভাৰেষ্টত উপস্থিত হয়।","Positive"
25657,"এই কাম কৰাৰ আনন্দপ্ৰকাশ কৰি তেওঁ কয় ""মই মানুহজনী খুবেই ব্যক্তিগত আৰু এনেদৰে মোৰ অনুভৱ বোৰ প্ৰকাশ কৰিব পাৰিম বুলি ভবাই নাছিলোঁ।","Positive"
14250,"’ আতন বুঢ়াগোঁহাইয়ে জয়ধ্বজ সিংহক সান্তনা দি ক’লে, ’স্বৰ্গদেউ, দুখ নকৰিব।","Negative"
11799,"অৱশ্যে এনে কিছুমান বহুল-পঠিত ব্লগো আছে, যিবোৰত মন্তব্য দিয়াৰ সুবিধাটো নাথাকে।","Positive"
9548,"অগ্নিক দেৱ-দেৱীসকলৰ মুখ বুলি গণ্য কৰা হয় আৰু হোমযজ্ঞত দেৱতাৰ প্ৰতি উৎসৰ্গিত দ্ৰব্য নিবেদনৰ মাধ্যম বুলি বিশ্বাস কৰা হয়।","Negative"
196,"১২ দিনত দহা, ১৫ আৰু ৩০ দিনৰ লগতে মাহে মাহে পিণ্ড দিয়ে ।","Neutral"
40,"১০০৭ চনত এই দিনতে সিন্ধী সম্প্ৰদায়সকলৰ ইষ্ট দেৱতা উদেৰোলাল না ঝুলেলালৰ জন্ম হৈছিল।","Neutral"
590,"১৭০০ চনৰ মাৰ্চত ৰাজাৰাম প্ৰথমৰ মৃত্যুত, তেওঁ তেওঁৰ নৱজাতক পুত্ৰ, শিৱাজী দ্বিতীয়ক ৰাজৰামৰ উত্তৰাধিকাৰী আৰু নিজকে ৰিজেণ্ট হিচাপে ঘোষণা কৰে।","Neutral"
502,"১৬৬৫ চনত ৰজাই ডা-ডাঙৰীয়াসকলৰ সৈতে এখন বৈঠক আহ্বান কৰে আৰু পশ্চিম অসমৰ পৰা মোগলক উৎখাত কৰিবলৈ আদেশ দিয়ে।","Neutral"
176,"১২৮৯ বা ১২৯৫ চনত তেওঁৰ মৃত্যু হয়।","Neutral"
27639,"এইদৰেই দুয়োপক্ষৰ সুবিধামতে দিন-বাৰ চাই বিবাহ সম্পন্ন কৰা হয়।","Positive"
13,"০৩ ৰ পাঠ্যক্ৰমত তৰংগ আৰু দোলনৰ প্ৰক্ৰিয়াসমূহৰ বিষয়ে দিয়া হৈছিল আৰু এই পাঠ্যক্ৰমটোত থকা অন্যতম বিষয়সমূহ আছিল – সৰল দোলন গতি, সমাৰোপণ, অনুনাদ, মেক্সৱেলৰ সমীকৰণৰ সমাধান, স্নেলৰ সূত্ৰ, হাইজেনৰ সূত্ৰ ইত্যাদি।","Neutral"
35429,"কংগ্ৰেছে বাৰ্ষিক প্ৰতিবেদন গাহ্য কৰে, নতুন সদস্য সংস্থাৰ অনুমোদন সম্পৰ্কীয় সিদ্ধান্ত লয় আৰু নিৰ্বাচন অনুষ্ঠিত কৰে।","Negative"
39433,"কিন্তু ৰূপাই এজন টেক্সী চালকৰ সৈতে একেখন ঘৰতে থাকিবলৈ অমান্তি হয় আৰু ইয়াতে সমস্যাৰ উদ্ভৱ হয়।","Negative"
43274,"গীতাৱলী পুথিৰ পিচত একমাত্ৰ লক্ষ্মীৰাম বৰুৱাই গীত বিষয়ক দুখন অমূল্য গ্ৰন্থ ৰচনা কৰি অসমীয়া গীতি সাহিত্যক সমৃদ্ধ কৰিছে।","Negative"
9760,"অতি দুখ মনেৰে আতন বুঢ়াগোঁহাইক কৈছিল, ’বুঢ়াগোঁহাইদেউ, দেৱতাসকলে মোৰ লগ এৰিলে।","Negative"
162,"১২৩০ শতিকাত বীৰপালৰ পুত্ৰ ৰত্নধ্বজপালে ভদ্ৰেশেন ৰজাক পৰাস্ত কৰি মাজুলী অঞ্চলত ৰতনপুৰ নামৰ এখন নগৰ নিৰ্মাণ কৰি ৰাজধানী স্থাপন কৰিছিল।","Neutral"
20003,"ইয়াৰ উপৰিও সাহিত্যিক গৰাকীয়ে অবৈধ মানৱ সৰবৰাহ, আন্তঃৰাজ্যিক সীমা সমস্যা, ব্ৰহ্মপুত্ৰৰ ওপৰত মাজুলী আৰু যোৰহাট সংযোগী দলং নিৰ্মাণ আদি গুৰুত্বপূৰ্ণ বিষয় কিছুমানৰ ওপৰত কাম কৰি সামাজিক দায়বদ্ধতা প্ৰকাশ কৰি আহিছে ।","Negative"
51,"১০১২ চনত তেওঁক সন্মানসূচক মেম্বাৰ অফ অৰ্ডাৰ অফ অষ্ট্ৰেলীয়া উপাধি প্ৰদান কৰা হয়।","Neutral"
423,"১৫ বছৰ বয়সত বিন্দ্ৰা ১৯৯৮ কমনৱেলথ গেমছত অংশগ্ৰহণ কৰে, তেওঁ আছিল এই গেমছৰ ইতিহাসৰ সকলোতকৈ কনিষ্ঠ ক্ৰীড়াবিদ।","Neutral"
1807,"১৯১৮ চনত গুজৰাটৰ খেড়াত হোৱা বানপানীয়ে খেতিয়কসকলক জুৰুলা কৰিছিল আৰু তেওঁলোকে কৰৰ বোজা কম কৰিবলৈ আবেদন কৰিছিল।","Negative"
20275,"ইয়াৰ দুয়োৰে গৌৰ আৰু নৰ্মদা দুখন নদী আছিল।","Negative"
285,"১৪৯৩ চনৰ ২৪ চেপ্তেম্বৰত কাডিজ বন্দৰৰ পৰা ১৭খন জাহাজত বাৰশ মানুহ আৰু নতুন বসতি স্থাপনৰ সা-সৰঞ্জাম লৈ কলম্বাছে যাত্ৰাৰম্ভ কৰিলে।","Neutral"
49073,"টিকটকৰ মোবাইল এপটোৱে ৱ্যৱহাৰকাৰীসকলক পৃষ্ঠভূমিত পৰিচালিত গানসমূহৰ সৈতে চুটি ভিডিঅ’ প্ৰকাশ কৰাৰ সুবিধা প্ৰদান কৰে।","Positive"
6567,"২০১০ চনত গ্ৰন্থ শৃংখলাটোৰ অন্তিম গ্ৰন্থখনৰ আধাৰত নিৰ্মাণ হ'ব লগা দুখন ছবিৰ প্ৰথমখন ছবি হেৰী পটাৰ এণ্ড দ্য ডেথ্লী হেল'জ -প্ৰথম খণ্ড নিৰ্মাণ কৰা হয়।","Negative"
46281,"চেন্নাইৰ পৰাহে ঘাইকৈ ইয়ালৈ যাতায়তৰ অধিক সুবিধা আছে।","Positive"
6425,"২০০৯ চনত ট্যুৰিঙৰ প্ৰতি ব্ৰিটিছ চৰকাৰে কৰা ভুল স্বীকাৰ কৰি দুখ প্ৰকাশ কৰা হয়।","Negative"
116,"১১ চেপ্টেম্বৰৰ ঘটনাই অলিম্পিকৰ নিৰাপত্তাৰ বিষয়টোত অধিক গুৰুত্ব দিবলৈ আৰু লগতে আয়োজক সকলক বৃহৎ সন্ত্ৰাসবাদী আক্ৰমণ প্ৰতিহত কৰিব পৰাকৈ সাজু হবলৈ বাধ্য কৰে।","Neutral"
29320,"এই বৰ্ষৰ আই পি এল আগৰকেইবাৰতকৈ বেছি প্ৰতিযোগিতামূলক আছিল কিয়নো এইবছৰতে ১৪খন খেলৰ ফলাফল অন্তিম অ'ভাৰত আৰু দুখন খেলৰ ফলাফল অন্তিম বলতহে নিৰ্ণিত হৈছিল।","Negative"
164,"১২৫৪ খ্ৰীষ্টাব্দত শান ৰাজ্য আৰু দাঁতিকাষৰীয়া এলেকা সমূহত বিস্তাৰিত ভাবে নতুন মৌঙ সমূহ টাই সকলৰ প্ৰবজনৰ বাবে প্ৰতিষ্ঠা হৈছিল।","Neutral"
14814,"আন এক কিংবদন্তি অনুসৰি কুণ্ডিল কুঁৱৰী ৰুক্মিণীয়ে তেওঁক হৰণ কৰি নিবলৈ অনুৰোধ জনাই বেদনিধি নামৰ এজন ব্ৰাহ্মণক শ্ৰীকৃষ্ণৰ ওচৰলৈ পঠিয়াইছিল।","Negative"
2595,"১৯৪৫ চনত কাননে বিবাহ-বিচ্ছেদৰ বাবে আবেদন কৰে।","Negative"
15686,"আনহাতে স্বাধীনতাৰ বহু বছৰৰ পাছতো বড়োসকলৰ কিবা উন্নতি হোৱাৰ সলনি চাৰিওফালৰ পৰা বিভিন্ন জনগোষ্ঠীৰ হেঁচাত বড়োসকলৰ অস্তিত্ব বিপন্ন হোৱাৰ সম্ভাৱনা দেখি নতুন চাম বড়ো যুৱক-যুৱতী ক্ষুদ্ধ হৈ উঠিছে।","Positive"
35986,"কমেও এশ টকা নথকা 'দুখীয়া' মানুহৰপৰা ফেহুৱে চুৰ নকৰিছিল।","Negative"
34565,"এফাল ভলুকা বাঁহ, দুই মুৰ জোঙা কৰি ছাচি লৈ নিমজ কৰা হয়, মাজৰ অংশটি দুই মুৰতকৈ কিছু বহল আকাৰৰ কৰা হয়, যাতে কান্ধত ল'বলৈ সুবিধা হয়।","Positive"
75,"১০ দিনীয়া উৎসৱটোৰ শেষৰ দিনটোক অনন্ত চতুৰ্দশী বুলিও জনা যায়।","Neutral"
47263,"জটিল সমস্যাবিলাক মুকলিকৈ আলোচনা কৰিবলৈ সুবিধা পাইছিল।","Positive"
34597,"এবছৰৰ ভিতৰতে এই সুবিধা প্ৰায় সকলো শাখালৈ সম্প্ৰসাৰণ কৰা হয়।","Positive"
25064,"এই আয়োগৰ সদস্য ৰূপে আয়োগক প্ৰতিবেদন দাখিল কৰিছিল জয়ন্ত মাধৱে।","Negative"
27294,"এইটো এটা স্বাস্থ্যজনিত সমস্যা।","Negative"
31470,"এইসমূহৰ উপৰিও মহাবিদ্যালয় খনত ইন্দিৰা গান্ধী ৰাষ্ট্ৰীয় মুক্ত বিশ্ববিদ্যালয় আৰু কৃষ্ণকান্ত সন্দিকৈ মুক্ত বিশ্ববিদ্যালয়ৰ যোগেদি আগবঢ়োৱা বিভিন্ন পাঠ্যক্ৰমৰো শিক্ষা গ্ৰহণ কৰাৰ সুবিধা আছে।","Positive"
3892,"১৯৭০ ৰ দশকত শাম্মী কাপুৰৰ শাৰীৰিক কাঠামো ওজনজনিত সমস্যাত আক্ৰান্ত হয় আৰু ইয়ে সাফল্যৰ পথত বাধাৰ সৃষ্টি কৰে।","Negative"
34921,"এলান অক্টেভিয়ান হিউম (Allan Octavian Hume) এ তেওঁৰ পৰ্য্যবেক্ষণৰ ভিত্তিত সদৰি কৰিছিল যে আশে পাশে সুবিধাজনক অন্য বাসস্থান থাকিলেও পাতি শগুণে প্ৰায়ে মানুহৰ জনবসতি পূৰ্ণ অঞ্চলত ওখ গছত বাহ সাজে।","Positive"
13826,"আগৰৱালে সেই বছৰৰ শেষৰ পিনে তামিল চলচ্চিত্ৰ জগতলৈ উভতি আহিছিল দুখন হাই-প্ৰফাইল একশ্বন ফ্লিক্সৰ যোগেদি।","Negative"
23,"০% উদ্ভিদ আৰু কণী পৰাৰ সময়ত ৭১.","Neutral"
4988,"১৯৯১চনৰ জাতীয় লোকপিয়লৰ তথ্য প্ৰকাশৰ পিছতেই ভাৰতত লিঙ্গবৈষম্যৰ এই ব্যৱস্থাটো প্ৰথমে লক্ষ্য কৰা হৈছিল আৰু ২০০১চনৰ লোকপিয়লৰ তথ্যৰ ভিত্তিত এই লিংগবৈষম্যৰ আনুপাতিক সমস্যাটো যে এক গুৰুত্বৰ সমস্যাৰ দিশে আগবাঢ়িছে সেই বিষয়ে স্পষ্ট হয়।","Negative"
38428,"কিন্তু এই সমস্যা আঁতৰোতেই মেচা বৰবৰুৱাক লৈ আন এক সমস্যাই গা কৰি উঠে।","Negative"
360,"১৫২৮ ৰ পৰা ১৫৩২ খ্ৰীষ্টাব্দলৈ চাৰি বছৰ মুছলমান সেনাই দুবাৰকৈ অসম দেশ আক্ৰমণ কৰিছিল।","Neutral"
20320,"ইয়াৰ দ্বাৰা সামাজিক প্ৰেক্ষাপটত মহিলা সকলক বিভিন্ন সা-সুবিধা লাভ কৰাৰ পৰা বঞ্চিত কৰোৱা হয়।","Positive"
419,"১৫ বচৰ বয়সতে তেওঁ মুৰহাউচ মহাবিদ্যালয়ত নামভৰ্তি কৰে আৰু ১৯৪৮ চনত সমাজ তত্ত্বৰ স্নাতক উপাধি লাভ কৰে।","Neutral"
377,"১৫৪৭ চনত গোঁহাই কমল আলি নিৰ্মাণ সম্পূৰ্ণ হয়।","Neutral"
49886,"ডেউকা দুখন বগা, কিন্তু মাজত সেউজীয়াৰ নিচিনা ক'লা জিলিকি থাকে।","Negative"
23000,"উইলছন ৰোগৰ জটিল অৱস্থাত যকৃতৰ বিকলতা, যকৃতৰ কৰ্কট ৰোগ আৰু বৃক্কৰ জটিল সমস্যাই দেখা দিয়ে।","Negative"
18823,"ইমানতো হতাশ নহৈ ১৪৮৮ চনত কলম্বাছে আকৌ পতুৰ্গালৰ আদালতত আবেদন জনায়।","Negative"
133,"১১ মাৰ্চত একেখন স্থানতে অনুষ্ঠিত সংগীতানুষ্ঠানটো নিৰ্ধাৰিত সূচী অনুসৰি চলিছিল।","Neutral"
49794,"ডিব্ৰুগড় জিলাত থকা গাঁও দুখন হ’ল-নাহৰকটীয়াৰ ওৱৰত নামফাকে আৰু টিপামফাকে গাঁও।","Negative"
40613,"কেম্ব্ৰিজত থকা সময়ছোৱাত ৰামানুজন নানা অসুবিধাৰ সন্মূখীন হৈছিল।","Positive"
44906,"চৰকাৰী বালক উচ্চ মাধ্যমিক বিদ্যালয় আৰু জিঅভিটি বালিকা উচ্চ মাধ্যমিক বিদ্যালয় ধুবুৰী নগৰৰ দুখন গুৰুত্বপূৰ্ণ বিদ্যালয় আৰু প্ৰাচীনতমও।","Negative"
216,"১৩০০ চনত তেওঁ ভিটেল বাডোৱেৰ (Vitale Badoer) নামৰ জনৰ জীয়েক ডনাটা বাডোৱেৰ (Donata Badoer) বিয়া কৰায় ।","Neutral"
639,"১৭৬৯ চনৰ পৰা ১৮০৫ চনলৈ ৩৬ বছৰ জুৰি এই বিদ্ৰোহ চলিছিল।","Neutral"
49766,"ডিজিটেল মে'ডিয়াৰ অত্যধিক ব্যৱহাৰ হতাশাগ্ৰস্ততাৰ লক্ষণসমূহৰ সৈতে সংযোজিত কৰা হয় যদিও কোনো কোনো ক্ষেত্ৰত মনোৱস্থাৰ উন্নতিৰ বাবে ডিজিটেল মেডিয়া ব্যৱহাৰৰ থল নথকা নহয়।","Positive"
98,"১১৭৫ চনত পেৰ' দে' চেণ্ট ক্ল'ডে লিখা ""ৰোমান দে' ৰেনাৰ্ট"" প্ৰাচীন ফৰাচী সাহিত্যৰ এক উল্লেখযোগ্য নিদৰ্শণ।","Neutral"
38769,"কিন্তু তাতে তেওঁৰ অৱস্থাৰ তেনে কোনো উন্নতি নহ’ল।","Positive"
40349,"কেঁচা মালৰ উপলব্ধতা, সস্তীয়া পৰিবহণ সুবিধা, গুৰুত্বপূৰ্ণ কৌশলগত অৱস্থান আদি কিছুমান আৰ্থিকভাৱে ব্যৱহাৰযোগ্য কাৰকৰ বাবে তেওঁলোকে এই স্থান বাছনি কৰিছিল।","Positive"
33782,"এদিনৰ এটা বিশেষ ঘটনাই তেওঁৰ অন্তৰত বাৰুকৈ দুখ দিলে।","Negative"
6491,"২০০৯ চনৰ এক প্ৰতিবেদন মতে, ২০৩০ চনলৈ একাংশ উন্নয়নশীল অঞ্চলত পানীৰ চাহিদা ইয়াৰ যোগানতকৈ ৫০% বৃদ্ধি পাব।","Negative"
12594,"অসম ফুটবলৰ গঠন প্ৰণালী দুখন ৰাজ্যিক পৰ্যায়ৰ লীগ প্ৰতিযোগিতাৰ ওপৰত ভিত্তি কৰি গঠিত হৈছে।","Negative"
