Serial No,Assamese Sentence,Sentiment
14909,ডুৰা আৰু এৰেক্‌নয়ড্‌ সংযুক্ত কৰা সৰু সিৰাবোৰ আঘাটৰ ফলত ক্ষতিগ্ৰস্ত হ'লে এই অৱস্থাৰ সৃষ্টি হয়।,Negative
1938,২০০৮ চনত ছানডে টাইমছ ৰিচ্চ্ লিষ্টে ৰাউলিঙক ইংলেণ্ডৰ সবাতোকৈ ধনী ব্যক্তিৰ তালিকাত দ্বাদশ স্থান (৭৯৮ মিলিয়ন ডলাৰ মূল্যৰ সম্পত্তিৰে) দিয়ে।,Neutral
126,১৫ তেওঁ হেনো বামপন্ধাৰ কিতাপবোৰ ভালকৈ বুজি নাপাইছিল।,Neutral
1924,২০০৭ চনৰ এপ্ৰিল মাহ পৰ্যন্ত সাতখন গ্ৰন্থৰ প্ৰথম ছখন গ্ৰন্থ সমগ্ৰ পৃথিৱীতে ৩২৫ মিলিয়ন কপিৰো বেছি বিক্ৰী হৈছে আৰু ৬৪টাৰো অধিক ভাষালৈ অনূদিত হৈছে।,Positive
548,১৯১৪ চনৰ পৰা ১৯৪৭ চনলৈ এই মহাবিদ্যালয় কলিকতা বিশ্ববিদ্যালয়ৰ অন্তৰ্ভুক্ত আছিল।,Negative
3148,অনুষ্ঠিত নিজৰ প্ৰথমখন খেলত নৰ্থ ইষ্ট ইউনাইটেডে স্পেইনৰ ছাৰ্জিঅ' ক'কেৰ একমাত্ৰ গ'লৰ সহায়ত কেৰালা ব্লাষ্টাৰ্ছক ১-০ গ'লত পৰাজিত কৰে।,Positive
16366,"তেওঁ চলচ্চিত্ৰীয় গীত, গজল, আধুনিক গীত, শাস্ত্ৰীয় সঙ্গীত ভিত্তিক লঘু গীত, নজৰুল গীত, ৰবীন্দ্ৰ সঙ্গীত আদি বিভিন্ন স্তৰৰ সঙ্গীত ক্ষেত্ৰখনলৈ অৱদান আগবঢ়াইছে।",Positive
3428,অৰ্থাৎ এই নতুন সূত্ৰ মতে- ইতিহাস হৈছে মানুহে ক্ৰমান্বয়ে চেতনা লাভ কৰাৰ এক যাত্ৰা মাথোঁ।,Negative
176,১৬শ শতাব্দীত ইউচুফ শ্বাহে ইয়াৰ নাম সলাই গুলমাৰ্গ কৰে।,Negative
1679,"১৯ শতিকাৰ সময়ত ব্ৰিটিছ ৰাজপ্ৰধানৰ দ্বাৰা, যি দক্ষিণ আফ্ৰিকা আৰু ভাৰত দুয়োটা পৰিচালনা কৰিছিল, ভাৰতীয়সকলক আমদানিকৃত শ্ৰমিক হিচাপে দক্ষিণ আফ্ৰিকালৈ অনা হৈছিল।",Negative
1884,২০০৬ চনত বিশ্ব পৰ্ণগ্ৰাফ ৰাজহ আছিল ৯৭ বিলিয়ন ডলাৰ।,Neutral
7313,উল্কি দিয়া উৎসৱ আড়ম্বৰেৰে অনুষ্ঠিত হোৱাৰ পাছদিনাখন যুঁজাৰুসকলক আনন্দেৰে থাকিবলৈ দিছিল।,Positive
2356,২০১৯ চনৰ ১২ জুলাই তাৰিখে তেওঁক বিশ্ব বেংক গোটৰ মুখ্য বিত্তীয় বিষয়া আৰু পৰিচালনা সঞ্চালক হিচাপে নিযুক্ত কৰা হৈছিল।,Positive
2059,২০১১ ১৮৮৩ চনত প্ৰতিষ্ঠা কৰা যোৰহাট উচ্চ মাধ্যমিক বালক বিদ্যালয়ত তেতিয়াৰ পৰাই বিজ্ঞান শিক্ষাৰ ব্যৱস্থা আছিল।,Positive
3607,অৱশ্যে চিলাৰায়ৰ মৃত্যুৰ পাছত কোচ ৰাজ্যত সৃষ্টি হোৱা গৃহকন্দলৰ সুযোগ লৈ কছাৰীসকলে পুনৰ নিজক স্বাধীন বুলি ঘোষণা কৰে।,Positive
1056,১৯৬২ চনত চীনৰ সৈতে ভাৰতৰ যুদ্ধৰ সহায়তাৰ উদ্দেশ্যেৰে আয়োজিত মহিলাৰ একমাত্ৰ কনচাৰ্টতত তেওঁ লক্ষ্ণৌত ৰাজহুৱাভাৱে গান গাইছিল।,Neutral
5287,আহোম যুগত সৃষ্টি হৈছিল বুৰঞ্জী সাহিত্যসমূহ।,Neutral
4024,আই এ চি ইউৰ লক্ষ্য হৈছে প্ৰতি পাঁচ বছৰৰ মূৰত তালিকাভূক্ত প্ৰতিটো প্ৰজাতিৰ অৱস্থা মূল্যায়ন কৰা।,Positive
4185,আগৰ দিনত ডেকা সকলৰ কোনোবা ম’হ ৰখীয়া কোনোবা গৰু ৰখীয়া আছিল।,Neutral
289,১৮৫৩ চনৰ নৱেম্বৰত মহাৰাজৰ মৃত্যুৰ পিছত দামোদৰ ৰাও (পূৰ্বৰ নাম আনন্দ ৰাও) তোলনীয়া সন্তান হোৱাৰ অজুহাত দেখুৱাই গভৰ্ণৰ জেনেৰেল লৰ্ড ডেলহাউছিৰ অধীনত ব্ৰিটিছ ইষ্ট ইণ্ডিয়া কোম্পানীয়ে ঝান্সীত স্বত্ব বিলোপ নীতি প্ৰয়োগ কৰিলে।,Positive
172,১৬ শতিকাত চুহুংমুঙৰ দিনত এই সাম্ৰাজ্যৰ পৰিসৰ বৃদ্ধি পায় আৰু ই বহু-জাতীয় হৈ পৰে।,Positive
3611,অৱশ্যে জাপানিজ এনকেফেলাইটিছ ভাইৰাছৰ প্ৰাকৃতিক পোষক (natural hosts) মানুহৰ পৰিৱৰ্ত্তে বনৰীয়া চৰাইহে বাবে এই ৰোগ সম্পূৰ্ণৰূপে নিৰ্মূল কৰা সম্ভৱ নহয় বুলি জনা যায়।,Negative
2183,২০১৩ চনৰ ২৬ অক্টোবৰ তাৰিখে আন তিনিজন খেলুৱৈৰ সৈতে ঋণত(on loan) ডেম্পো দলৰ সৈতে চুক্তিবদ্ধ হয়।,Negative
599,১৯২১ খৃষ্টাব্দত প্ৰভিন্সিয়েল দি চেট্ৰেলাইজেচন অৱ ইম্পোৰিয়েল ফাইনেন্স ইন ব্ৰিটিছ ইণ্ডিয়া শীৰ্ষক অধ্যয়নৰ বাবে এম.,Negative
17540,তেওঁ সমাজৰ অন্ধবিশ্বাসৰ বিৰুদ্ধে বিধবা মহিলাসকলৰ বাবে যুঁজ কৰিছিল যাতে তেওঁলোকে তেওঁলোকৰ প্ৰথম স্বামীৰ মৃত্যুৰ পিছত পুনৰ বিয়া কৰিব পাৰে।,Negative
3221,অন্য কিছুমানে এই চেণ্ডেল কোল্‌হাপুৰৰ পৰা উদ্ভৱ হৈছিল বুলি দাবী কৰে।,Negative
3925,অসমীয়া আৰু বঙালী দুয়ো ভাষাতে পানীৰে পূৰ্ণ ডাঙৰ আদ্ৰভূমিক বিল বোলা হয়।,Positive
1054,"১৯৬২ চনত কলিকতাত ৰেকৰ্ড কৰা 'আগলি বতাহে কপালে কলৰে পাত' আৰু 'কৃষ্ণচূড়া কৃষ্ণচূড়া' গানৰ ৰেকৰ্ডখন যথেষ্ট জনপ্ৰিয় হয়, আৰু জয়ন্ত হাজৰিকেই পেছাদাৰী সংগীত জগতত ভৰি দিয়ে।",Positive
5113,আৰু মহম্মদ চাদুলাৰ প্ৰভাৱেই বেছি দেখা গৈছিল।,Neutral
1533,১৯৯২ চনৰ ২৫ ফেব্ৰুৱাৰীত ভাৰতৰ নতুন দিল্লীত ছানয়া মালহোত্ৰাৰ জন্ম হৈছিল।,Neutral
1919,২০০৭ চনৰ ২৫ চেপ্তেম্বৰত প্ৰতিষ্ঠানৰ সকলো কাৰ্যকলাপ চান ফ্ৰান্সিচ্‌ক' উপকূল অঞ্চললৈ স্থানান্তৰ কৰাৰ অৰ্থে ব'ৰ্ডে জাননী জাৰি কৰে।,Negative
777,১৯৪২ চনৰ ৩ আগষ্টত এটা পাৰ্চী পৰিয়ালত অনু আগাৰ জন্ম হৈছিল।,Neutral
1029,১৯৬০ চনত ভাৰতে গ্ৰীড-পৰিচালনাৰ ধাৰণাটোক আঞ্চলিক পৰ্যায়লৈ লৈ আহে।,Neutral
3383,অৰুণ তিৱাৰীৰ সহযোগত ৰচিত এই আত্মজীৱনীখন প্ৰথমে প্ৰকাশ পাই ১৯৯৯ চনত।,Negative
2984,অতি সহজ কথাত ক'বলৈ গ'লে লোক সমাজে দৈনন্দিন জীৱনত ঘৰুৱা বা সামাজিক জীৱনত অনাআনুষ্ঠানিকভাৱে স্বতঃস্ফূৰ্তভাৱে স্বাভাবিক ভংগীমাৰে ব্যৱহাৰ কৰা ভাষিক ৰূপটোৱে হ'ল লোকভাষা।,Negative
1570,১৯৯৪ চনৰ মিছ ইউনিভাৰ্ছ প্ৰতিযোগিতাৰ প্ৰাৰম্ভিক পৰ্যায়ত তেওঁ তৃতীয় স্থান লাভ কৰিছিল।,Positive
67,১৩০৫ বঙ্গাব্দত পঢ়াশুনা শেষ হোৱাৰ পাছত জীৱিকা অৰ্জনৰ বাবে তেওঁ ৰাণী ৰাসমণিৰ এষ্টেট দিনাজপুৰ জিলা বোৰ্ডত চাকৰিত যোগ দিয়ে।,Positive
10021,এটা সম্ভ্ৰান্ত বঙালী কায়স্থ পৰিয়ালত হৈছিল আৰু ১৯০২ চনৰ ৪ জুলাইত মৃত্যু হৈছিল।,Negative
1664,"১৯৯৯ চনৰ পৰা তেওঁ কেলিফোৰ্নিয়া বিশ্ববিদ্যালয়, বাৰ্কলেত সম্পূৰ্ণ অধ্যাপক হিচাপে যুটীয়া নিযুক্তি লাভ কৰিছে।",Negative
5248,আশাবাদী দৃষ্টিভংগী পোষণ কৰা সততে চকুত পৰে।,Neutral
709,১৯৩৪ : জ্যোতিপ্ৰসাদ আগৰৱালাই নিৰ্মাণ কৰিবলৈ লোৱা জয়মতী চলচ্চিত্ৰৰ কামত আৰু শোণিত কুঁৱৰী নাট ৰেকৰ্ডিঙৰ ক্ষেত্ৰত বিশেষ সহযোগিতা।,Positive
5056,আৰু তেখেতৰ বাৰীৰ চিনমোকাক আছে ইয়াৰ উপৰিও কাষতে পত্নীসকলৰ মৈদাম আৰু পূৱ দিশত 24জন পুত্ৰৰ লানিপাতি এষাৰি সৰু মৈদাম আছে।,Neutral
5038,"আৰু তাম্ৰধ্বজৰ যুদ্ধৰ মাজত অন্যতম, কবিজনাৰ এইখন প্ৰথম কাব্য।",Neutral
4626,আনহাতে আন এটা গল্প ৰাতিৰ ৰেলত চৰিত্ৰ জুনু গোস্বামীৰ এক বিশেষ ৰে'ল যাত্ৰাৰ বিৱৰণৰ ওপৰত আধাৰিত।,Neutral
1711,২০০০ চনত এছ টি এছ-১০৭ (STS-107) অভিযানৰ মহাকাশচাৰী হিচাপে কল্পনা চাওলা তেওঁৰ দ্বিতীয় মহাকাশ অভিযানৰ বাবে নিৰ্বাচিত হয়।,Positive
1348,১৯৮২ চনত এইখন ৰাষ্ট্ৰীয় উদ্যান হিচাপে ঘোষিত হয়।,Positive
3430,অৰ্থাৎ কলীয়া বৰ গছেৰে ভৰি থকা ঠাই কলিয়াবৰ।,Positive
4392,আদিত শ্ৰীকৃষ্ণৰ প্ৰতি ভক্তিভাৱেৰে বিশেষ অনুষ্ঠান আয়োজন কৰা হয়।,Neutral
4699,আনহাতে প্ৰযুক্তি-প্ৰগতিবাদৰ দৰে ধাৰণাই প্ৰযুক্তিক সমাজ আৰু মানুহৰ অৱস্থাৰ উন্নতিৰ বাবে লাভদায়ক বুলি যুক্তি দৰ্শায়।,Positive
8795,"এই বঁটা সংগীত, নৃত্য, থিয়েটাৰ, অন্যান্য পৰম্পৰাগত কলা আৰু পুতলা শিল্প আৰু প্ৰদৰ্শন কলাত অৱদান বা বৃত্তিৰ বাবে প্ৰদান কৰা হয়।",Positive
6718,ইয়াৰে অধিকাংশ আক্ৰান্ত তথা মৃত্যু হোৱা ৰোগীৰ বয়স ৫ বছৰতকৈ কম আছিল।,Negative
2106,২০১১ চনলৈকে মুম্বাইৰ জুহুত থকা পৃথ্বী থিয়েটাৰ তেখেতে পৰিচালনা কৰি থাকে।,Neutral
2048,২০১০ চনৰ জানুৱাৰী মাহলৈকে ১১১১ জন ব্যক্তিলৈ এই সন্মান আগবঢ়োৱা হৈছে।,Negative
3986,অসমীয়া সমাজত এটি জনপ্ৰবাদ প্ৰচলিত আছে।,Negative
621,১৯২৩ চনত জন্ম হোৱা 'সনাতন ধৰ্ম সভা'য়ো মহাপুৰুষীয়া শাস্ত্ৰৰ প্ৰচাৰ-চৰ্চা কৰে।,Neutral
623,১৯২৩ চনত তেওঁৰ মাতৃ মেৰীয়ে চিমলাত বাস কৰা এজন ইটালীয়ান ভাস্কৰ্যবিদৰ কথা গম পায়।,Negative
3767,অসম চৰকাৰৰ সাংস্কৃতিক সঞ্চালকালয়ে বিশিষ্ট সংগীত শিল্পী অণিমা বৰঠাকুৰ আৰু কুল বৰুৱালৈ ২০১৮ বৰ্ষৰ শিল্পী বঁটা আগবঢ়াইছে।,Negative
749,১৯৩৯ চনত ৰেড্ডীক অন্ধ্ৰপ্ৰদেশৰ কংগ্ৰেছ সমিতিলৈ সম্পাদক হিচাপে নিৰ্বাচিত কৰা হৈছিল।,Negative
14804,ডাউডনা আছিল চিয়েৰ্‌ল বৃত্তিধাৰী (Searle Scholar) আৰু ১৯৯৬ চনত বেকমেন যুৱ অনুসন্ধানকাৰী পুৰস্কাৰ(Beckman Young Investigators Award) লাভ কৰিছিল।,Positive
7610,এই উৎসৱ হৈছে শস্যৰ দেৱতাসকলক সন্মান আৰু আনন্দিত কৰাৰ আৰু মানুহৰ কল্যাণৰ বাবে প্ৰাৰ্থনা কৰাৰ এক বিশেষ অনুষ্ঠান।,Positive
791,১৯৪৫ খৃষ্টাব্দত তেওঁ মানৱ শিক্ষা সমাজ গঠন কৰিলে।,Negative
1242,১৯৭৫ চনত তেখেতে নৰ্থৱেষ্টাৰ্ন বিশ্ববিদ্যালয়ৰ পৰা পদাৰ্থ বিজ্ঞানত ডক্তৰেট ডিগ্ৰী আহৰণ কৰে।,Neutral
2604,৫ মাইল অতিক্ৰম কৰি প্ৰথম মানৱযুক্ত বেলুনৰ উৰণৰ পথ সুগম কৰে।,Neutral
